symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1101.TW,2021-08-13,43.68,44.18,43.59,44,42.259285,25994453,25994453,0.32,0.7326,43.93,"August 13, 21",0.007326
1101.TW,2021-08-12,41.68,43.41,41.5,43.28,41.560791,82318666,82318666,1.6,3.84,42.73,"August 12, 21",0.0384
1101.TW,2021-08-11,46.91,47,46.18,46.46,41.675941,65313387,65313387,-0.45,-0.95928,46.55,"August 11, 21",-0.0095928
1101.TW,2021-08-10,47.46,47.64,47,47.18,42.328396,37592383,37592383,-0.28,-0.58997,47.28,"August 10, 21",-0.0058997
1101.TW,2021-08-09,47.82,47.82,47,47.64,42.736187,36859847,36859847,-0.18,-0.37641,47.49,"August 09, 21",-0.0037641
1101.TW,2021-08-06,48.37,48.37,47.64,48.09,43.143974,35673351,35673351,-0.28,-0.57887,48.03,"August 06, 21",-0.0057887
1101.TW,2021-08-05,48.91,48.91,47.82,47.91,42.980858,42347743,42347743,-1,-2.04,48.22,"August 05, 21",-0.0204
1101.TW,2021-08-04,49.28,49.55,48.73,48.91,43.877991,25816343,25816343,-0.37,-0.75081,49.06,"August 04, 21",-0.0075081
1101.TW,2021-08-03,48.28,49,48.18,49,43.959549,49972057,49972057,0.72,1.49,48.73,"August 03, 21",0.0149
1101.TW,2021-08-02,47.91,48,47.73,48,43.062416,15366985,15366985,0.09,0.18785,47.91,"August 02, 21",0.0018785
1101.TW,2021-07-30,48.09,48.09,47.73,47.82,42.8993,13669323,13669323,-0.27,-0.56145,47.88,"July 30, 21",-0.0056145
1101.TW,2021-07-29,47.73,48.09,47.37,48.09,43.143974,20790001,20790001,0.36,0.75424,47.85,"July 29, 21",0.0075424
1101.TW,2021-07-28,48,48.18,47.28,47.64,42.736187,39954406,39954406,-0.36,-0.75,47.7,"July 28, 21",-0.0075
1101.TW,2021-07-27,48.46,48.46,47.82,48.18,43.225529,20444315,20444315,-0.28,-0.5778,48.15,"July 27, 21",-0.005778
1101.TW,2021-07-26,48.55,48.91,48.18,48.37,43.388649,27085059,27085059,-0.18,-0.37075,48.49,"July 26, 21",-0.0037075
1101.TW,2021-07-23,47.55,48.28,47.46,48.18,43.225529,37737934,37737934,0.63,1.32,47.97,"July 23, 21",0.0132
1101.TW,2021-07-22,47.55,47.55,47.18,47.37,42.491512,18146309,18146309,-0.18,-0.37855,47.37,"July 22, 21",-0.0037855
1101.TW,2021-07-21,47.28,47.64,47,47.09,42.246838,27146960,27146960,-0.19,-0.40186,47.25,"July 21, 21",-0.0040186
1101.TW,2021-07-20,46.91,47.09,46.73,47,42.165279,11098745,11098745,0.09,0.19186,46.94,"July 20, 21",0.0019186
1101.TW,2021-07-19,46.73,47.28,46.64,47.28,42.409958,12361354,12361354,0.55,1.18,47.06,"July 19, 21",0.0118
